Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
FastSurfer,fastsurfer,200008,gm,lh,0,,Chamfer Distance,,0.980787127765625,
FastSurfer,fastsurfer,200008,gm,lh,0,,Hausdorff Distance,,5.756453166189417,
FastSurfer,fastsurfer,200008,gm,lh,0,,Self-Intersections (SIF),,0,256702
FastSurfer,fastsurfer,200008,gm,lh,0,,Macro Dice,,0.8542822725463135,
FastSurfer,fastsurfer,200109,gm,lh,0,,Chamfer Distance,,1.0287075349783918,
FastSurfer,fastsurfer,200109,gm,lh,0,,Hausdorff Distance,,5.729887176145885,
FastSurfer,fastsurfer,200109,gm,lh,0,,Self-Intersections (SIF),,0,281480
FastSurfer,fastsurfer,200109,gm,lh,0,,Macro Dice,,0.8851413170376323,
FastSurfer,fastsurfer,200311,gm,lh,0,,Chamfer Distance,,1.0729632975854588,
FastSurfer,fastsurfer,200311,gm,lh,0,,Hausdorff Distance,,7.116439685895647,
FastSurfer,fastsurfer,200311,gm,lh,0,,Self-Intersections (SIF),,2,272224
FastSurfer,fastsurfer,200311,gm,lh,0,,Macro Dice,,0.8916636211809656,
FastSurfer,fastsurfer,200614,gm,lh,0,,Chamfer Distance,,1.0487244318690796,
FastSurfer,fastsurfer,200614,gm,lh,0,,Hausdorff Distance,,6.660844651525018,
FastSurfer,fastsurfer,200614,gm,lh,0,,Self-Intersections (SIF),,0,270716
FastSurfer,fastsurfer,200614,gm,lh,0,,Macro Dice,,0.8779991577710616,
FastSurfer,fastsurfer,201414,gm,lh,0,,Chamfer Distance,,1.0891162745176688,
FastSurfer,fastsurfer,201414,gm,lh,0,,Hausdorff Distance,,9.537848440157216,
FastSurfer,fastsurfer,201414,gm,lh,0,,Self-Intersections (SIF),,0,252064
FastSurfer,fastsurfer,201414,gm,lh,0,,Macro Dice,,0.8616214477867077,
FastSurfer,fastsurfer,201111,gm,lh,0,,Chamfer Distance,,1.049047175681395,
FastSurfer,fastsurfer,201111,gm,lh,0,,Hausdorff Distance,,6.28885976932237,
FastSurfer,fastsurfer,201111,gm,lh,0,,Self-Intersections (SIF),,0,289876
FastSurfer,fastsurfer,201111,gm,lh,0,,Macro Dice,,0.8715636744450612,
FastSurfer,fastsurfer,200210,gm,lh,0,,Chamfer Distance,,1.078022607452813,
FastSurfer,fastsurfer,200210,gm,lh,0,,Hausdorff Distance,,8.379793436269683,
FastSurfer,fastsurfer,200210,gm,lh,0,,Self-Intersections (SIF),,0,334792
FastSurfer,fastsurfer,200210,gm,lh,0,,Macro Dice,,0.8727019650504914,
FastSurfer,fastsurfer,200917,gm,lh,0,,Chamfer Distance,,0.9891846677208422,
FastSurfer,fastsurfer,200917,gm,lh,0,,Hausdorff Distance,,8.257614791516115,
FastSurfer,fastsurfer,200917,gm,lh,0,,Self-Intersections (SIF),,0,282914
FastSurfer,fastsurfer,200917,gm,lh,0,,Macro Dice,,0.8512343022071859,
FastSurfer,fastsurfer,201515,gm,lh,0,,Chamfer Distance,,1.0571758908383608,
FastSurfer,fastsurfer,201515,gm,lh,0,,Hausdorff Distance,,5.869904954476226,
FastSurfer,fastsurfer,201515,gm,lh,0,,Self-Intersections (SIF),,3,288516
FastSurfer,fastsurfer,201515,gm,lh,0,,Macro Dice,,0.8642831540765675,
FastSurfer,fastsurfer,203721,gm,lh,0,,Chamfer Distance,,1.0802159406691123,
FastSurfer,fastsurfer,203721,gm,lh,0,,Hausdorff Distance,,6.3517627979263604,
FastSurfer,fastsurfer,203721,gm,lh,0,,Self-Intersections (SIF),,0,243334
FastSurfer,fastsurfer,203721,gm,lh,0,,Macro Dice,,0.8617510917561254,
FastSurfer,fastsurfer,201818,gm,lh,0,,Chamfer Distance,,1.020719121052961,
FastSurfer,fastsurfer,201818,gm,lh,0,,Hausdorff Distance,,5.663715718611084,
FastSurfer,fastsurfer,201818,gm,lh,0,,Self-Intersections (SIF),,0,242998
FastSurfer,fastsurfer,201818,gm,lh,0,,Macro Dice,,0.8791528353866225,
FastSurfer,fastsurfer,201717,gm,lh,0,,Chamfer Distance,,1.0027454635102395,
FastSurfer,fastsurfer,201717,gm,lh,0,,Hausdorff Distance,,6.88488342943668,
FastSurfer,fastsurfer,201717,gm,lh,0,,Self-Intersections (SIF),,0,308938
FastSurfer,fastsurfer,201717,gm,lh,0,,Macro Dice,,0.8655076050085339,
FastSurfer,fastsurfer,203418,gm,lh,0,,Chamfer Distance,,1.0164126545957568,
FastSurfer,fastsurfer,203418,gm,lh,0,,Hausdorff Distance,,5.695958093212755,
FastSurfer,fastsurfer,203418,gm,lh,0,,Self-Intersections (SIF),,0,266246
FastSurfer,fastsurfer,203418,gm,lh,0,,Macro Dice,,0.8674750404411345,
FastSurfer,fastsurfer,204521,gm,lh,0,,Chamfer Distance,,1.0220227700713922,
FastSurfer,fastsurfer,204521,gm,lh,0,,Hausdorff Distance,,5.934367952246084,
FastSurfer,fastsurfer,204521,gm,lh,0,,Self-Intersections (SIF),,0,241440
FastSurfer,fastsurfer,204521,gm,lh,0,,Macro Dice,,0.8712601977645501,
FastSurfer,fastsurfer,204420,gm,lh,0,,Chamfer Distance,,1.0056405802175141,
FastSurfer,fastsurfer,204420,gm,lh,0,,Hausdorff Distance,,6.061123337059931,
FastSurfer,fastsurfer,204420,gm,lh,0,,Self-Intersections (SIF),,0,235564
FastSurfer,fastsurfer,204420,gm,lh,0,,Macro Dice,,0.8687644071572824,
FastSurfer,fastsurfer,202113,gm,lh,0,,Chamfer Distance,,1.0276991365678914,
FastSurfer,fastsurfer,202113,gm,lh,0,,Hausdorff Distance,,6.2276884286461485,
FastSurfer,fastsurfer,202113,gm,lh,0,,Self-Intersections (SIF),,0,292920
FastSurfer,fastsurfer,202113,gm,lh,0,,Macro Dice,,0.8804186922652579,
FastSurfer,fastsurfer,202719,gm,lh,0,,Chamfer Distance,,1.0171922665036586,
FastSurfer,fastsurfer,202719,gm,lh,0,,Hausdorff Distance,,6.336524659710342,
FastSurfer,fastsurfer,202719,gm,lh,0,,Self-Intersections (SIF),,0,283150
FastSurfer,fastsurfer,202719,gm,lh,0,,Macro Dice,,0.8838629380784724,
